POINT_ID,sample_ID,GPS_LAT,GPS_LONG,median
28761622,3636,36.29704,-6.07164,0.20668907463550568
28801616,3635,36.25137,-6.01598,0.12130610644817352
28801634,3633,36.41106,-6.05253,0.1557193100452423
29201666,3629,36.76973,-5.68037,0.3409421443939209
29261662,3628,36.74528,-5.60665,0.16645210981369019
29341684,3625,36.95528,-5.56292,0.09105176478624344
29321682,3626,36.93385,-5.58089,0.11620765924453735
29301690,3881,37.00119,-5.61891,0.10064166784286499
29341696,3882,37.06179,-5.58702,0.10102337598800659
29361700,3880,37.10096,-5.57307,0.11063303053379059
29341706,3859,37.15052,-5.60718,0.11381708085536957
29221700,3878,37.07515,-5.72709,0.12120568752288818
29261706,3860,37.13578,-5.69525,0.1039455384016037
29221704,3876,37.11063,-5.7352,0.1194097101688385
29181692,3640,36.99675,-5.75482,0.11333005130290985
29041708,3872,37.11251,-5.94144,0.10253831744194031
29001710,3883,37.12273,-5.98956,0.08364666998386383
28981702,3873,37.04841,-5.99468,0.009851595386862755
28921702,3885,37.03671,-6.06095,0.09125334769487381
28921696,3623,36.98353,-6.04853,0.0769084244966507
29001700,3874,37.03392,-5.96871,0.04092658311128616
29041690,3642,36.95291,-5.90446,0.13516931235790253
28941694,3624,36.96957,-6.02245,0.1399938315153122
28921678,3644,36.82394,-6.01144,0.11988925188779831
29161684,3630,36.92207,-5.76055,0.10555513203144073
29021666,3639,36.73628,-5.87744,0.09579594433307648
29021660,3637,36.68306,-5.86527,0.14136698842048645
28821646,3631,36.52128,-6.05521,0.13896438479423523
28901658,3638,36.64283,-5.99236,0.1729903221130371
29001674,3627,36.80352,-5.91561,0.10104204714298248
28941672,3619,36.77451,-5.97723,0.10344718396663666
28921674,3643,36.78848,-6.00324,0.0900263860821724
28721676,3621,36.76827,-6.22626,0.11440958082675934
28741666,3647,36.68343,-6.18363,0.10027533769607544
28701666,3646,36.67582,-6.22738,0.14376512169837952
28601668,3645,36.67439,-6.3408,0.19235822558403015
28661678,3620,36.77449,-6.29609,0.09203136712312698
28841702,3870,37.02153,-6.14884,0.2891380488872528
28841714,3877,37.12775,-6.17361,-0.009066177532076836
27781794,17675,37.62427,-7.5175,0.12620915472507477
27821832,18132,37.96729,-7.56089,0.18730273842811584
27741830,17676,37.93306,-7.64496,0.1365596354007721
27721828,17674,37.9113,-7.66248,0.14487749338150024
